"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VPAC-KLSL-ADMIBMB-47","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","3.52 MB","12 minutes and 47 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-ADMLOSOPBNK-56","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","59 seconds","2.68 MB","35 minutes and 41 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-ADMSSL-10","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","5 seconds","17.2 MB","1 hour, 13 minutes and 18 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-ADMSSL-UAT-ATM-14","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","3 seconds","10.95 MB","2 hours, 31 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-ADMWEBTLR-46","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","3 seconds","10.45 MB","3 hours, 1 minute and 19 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-APPSSL-03","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","4 seconds","28.02 MB","19 minutes and 26 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-AROAPP-51","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","16.83 MB","52 minutes and 22 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-CMSAPP-49","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 second","2.94 MB","12 minutes and 47 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-CNTRLPLN-27","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","5 minutes and 56 seconds","1.43 GB","3 hours, 37 minutes and 37 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-COBAPP-50","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 seconds","10.75 MB","3 hours, 10 minutes and 23 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-DBCACHE-20","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","20 seconds","12.57 MB","?","5 minutes","0 seconds","Disabled"
"VPAC-KLSL-DBPGSQL-19","Incremental Sync","192.168.191.26","FDS-VREP-RMP-26","","6 of 6","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","12 seconds","110.28 MB","?","5 minutes","0 seconds","Disabled"
"VPAC-KLSL-DBPGSQL-SLAVE-21","Incremental Sync (RPO Violation)","192.168.191.26","FDS-VREP-RMP-26","","11 of 11","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 hour, 5 minutes and 24 seconds","82.37 GB","6 hours, 28 minutes and 6 seconds","4 hours","2 hours and 31 minutes","Disabled"
"VPAC-KLSL-DNSSVR-11","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 seconds","4.02 MB","40 minutes and 14 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-ELK-26","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","5 minutes and 57 seconds","3.03 GB","1 hour, 22 minutes and 29 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-FTPSVR-40","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","1 minute and 10 seconds","8.91 MB","1 hour, 35 minutes and 51 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-IACSSAPP-36","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","10 seconds","113.8 MB","10 minutes and 4 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-IBBVAAPP-43","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 32 seconds","309.51 MB","27 minutes and 49 seconds","8 hours","0 seconds","Disabled"
"VPAC-KLSL-IBMBAPP-42","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanDatastore-RMP","Datastore Default","Jun 20, 2026","2 minutes and 30 seconds","482.9 MB","49 minutes and 12 seconds","8 hours","0 seconds","Disabled"
