"Virtual Machine","Status","Target","Replication Server","Protection Group","Configured Disks","Auto-replicate New Disks","Managed By","Quiescing","Network Compression","Encryption","Datastore","Storage Policy","Last Instance Sync Point","Last Sync Duration","Last Sync Size","Lag Time","RPO","Current RPO Violation","Points In Time"
"VFDS_RHEL6.5_R16_BMAS-PROD_LB_54","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","1 second","8.23 MB","22 minutes","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R16_BMAS-PROD_MIS_55","OK","192.168.191.26","FDS-VREP-RMP-26","","4 of 4","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","4 seconds","33.05 MB","48 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_APP_165","OK","192.168.191.26","FDS-VREP-RMP-26","","10 of 10","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_2_ssd","Datastore Default","Jun 20, 2026","6 seconds","28.33 MB","7 minutes and 14 seconds","15 minutes","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_CHN_167","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_2_ssd","Datastore Default","Jun 20, 2026","18 seconds","175 MB","7 minutes and 6 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_CHN_170","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_2_ssd","Datastore Default","Jun 20, 2026","9 seconds","83.76 MB","12 minutes and 56 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_LB_171","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_1","Datastore Default","Jun 20, 2026","2 minutes","31.24 MB","36 minutes and 11 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_SWF_169","OK","192.168.191.26","FDS-VREP-RMP-26","","1 of 1","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_1","Datastore Default","Jun 20, 2026","6 seconds","72.77 MB","39 minutes and 42 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL7.6_R18_CCBI-PROD_WEB_166","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","datastore_ccbi_rmp_1","Datastore Default","Jun 20, 2026","4 seconds","26.88 MB","18 minutes and 32 seconds","1 hour","0 seconds","Disabled"
"VFDS_RHEL8.4_R15_INA-PROD_APUPPT_57","OK","192.168.191.26","FDS-VREP-RMP-26","","3 of 3","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","3 seconds","7.52 MB","58 minutes and 11 seconds","3 hours","0 seconds","Disabled"
"VFDS_RHEL8.6_R16_BMAS-PROD_APUPPT_57","OK","192.168.191.26","FDS-VREP-RMP-26","","2 of 2","Enabled","VR","Disabled","Enabled","Disabled","vsanmasinaRMP","Datastore Default","Jun 20, 2026","12 seconds","856 KB","?","1 hour","0 seconds","Disabled"
